Date,Deposit rate
8/21/2017,0.22
8/22/2017,0.24
8/23/2017,0.23
8/24/2017,0.22
8/25/2017,0.22
8/28/2017,0.2
8/29/2017,0.2
8/30/2017,0.21
8/31/2017,0.22
9/1/2017,0.22
9/4/2017,0.25
9/5/2017,0.25
9/6/2017,0.25
9/7/2017,0.25
9/8/2017,0.24
9/11/2017,0.25
9/12/2017,0.22
9/13/2017,0.22
9/14/2017,0.25
9/15/2017,0.31
9/18/2017,0.31
9/19/2017,0.27
9/20/2017,0.27
9/21/2017,0.28
9/22/2017,0.28
9/25/2017,0.28
9/26/2017,0.28
9/27/2017,0.24
9/28/2017,0.27
9/29/2017,0.27
10/2/2017,0.27
10/3/2017,0.24
10/4/2017,0.25
10/5/2017,0.25
10/6/2017,0.25
10/9/2017,0.25
10/10/2017,0.25
10/11/2017,0.25
10/12/2017,0.25
10/13/2017,0.25
10/16/2017,0.25
10/17/2017,0.25
10/18/2017,0.22
10/19/2017,0.21
10/20/2017,0.31
10/23/2017,0.31
10/24/2017,0.31
10/25/2017,0.31
10/26/2017,0.3
10/27/2017,0.3
10/30/2017,0.31
10/31/2017,0.41
11/1/2017,0.39
11/2/2017,0.45
11/3/2017,0.45
11/6/2017,0.45
11/7/2017,0.5
11/8/2017,0.51
11/9/2017,0.51
11/10/2017,0.5
11/13/2017,0.48
11/14/2017,0.5
11/15/2017,0.5
11/16/2017,0.5
11/17/2017,0.48
11/20/2017,0.51
11/21/2017,0.51
11/22/2017,0.51
11/23/2017,0.51
11/24/2017,0.5
11/27/2017,0.5
11/28/2017,0.5
11/29/2017,0.51
11/30/2017,0.5
12/1/2017,0.5
12/4/2017,0.5
12/5/2017,0.5
12/6/2017,0.5
12/7/2017,0.5
12/8/2017,0.5
12/11/2017,0.5
12/12/2017,0.51
12/13/2017,0.51
12/14/2017,0.48
12/15/2017,0.48
12/18/2017,0.51
12/19/2017,0.44
12/20/2017,0.43
12/21/2017,0.48
12/22/2017,0.48
